Rain_3day_sum,Rain_7day_sum,Rain_3day_avg,Max_River_Rise,Max_Normalized_River_Level,Avg_Normalized_River_Level,Flood_Label
0.009033773,0.017159659,0.009033773,0,0.188566014,0.083597427,0
0.007696933,0.01920699,0.007696933,0,0.18572331,0.082216688,0
0.018932519,0.031529591,0.018932519,0,0.183512318,0.081071253,0
0.033371121,0.03803002,0.033371121,0,0.180669615,0.079767889,0
0.035980728,0.041221387,0.035980728,0,0.178458623,0.078545079,0
0.047004887,0.059676404,0.047004887,0,0.175300063,0.077162751,0
0.037515295,0.062959878,0.037515295,0,0.172773215,0.075860976,0
0.039020824,0.067146943,0.039020824,0,0.169614656,0.074993961,0
0.019226373,0.069644278,0.019226373,0,0.167087808,0.073765802,0
0.018301465,0.062414295,0.018301465,0,0.163929248,0.07245709,0
0.041104196,0.073832637,0.041104196,0,0.161402401,0.071228932,0
0.073254259,0.10186942,0.073254259,0.011041184,0.158243841,0.070741274,0
0.095084509,0.103981933,0.095084509,0.005520592,0.155716993,0.069745242,0
0.077606531,0.108493849,0.077606531,0.011041184,0.153190145,0.068826585,0
0.06228108,0.121979268,0.06228108,0,0.150663298,0.067675801,0
0.047531101,0.128453021,0.047531101,0.016561775,0.147820594,0.066755555,0
0.045314772,0.13184843,0.045314772,0.005520592,0.145925458,0.065917451,0
0.02495536,0.108017658,0.02495536,0,0.14339861,0.064766667,0
0.015184114,0.078247994,0.015184114,0,0.140871762,0.063615884,0
0.024770972,0.071058275,0.024770972,0,0.137713203,0.062307172,0
0.0317485,0.068370714,0.0317485,0,0.135186355,0.061598085,0
0.036726043,0.056154172,0.036726043,0,0.132343651,0.060368338,0
0.096599885,0.113481102,0.096599885,0,0.13013266,0.059296518,0
0.092553023,0.109210939,0.092553023,0,0.127289956,0.057993155,0
0.086556075,0.109411585,0.086556075,0.038644143,0.125710676,0.058577899,0
0.007553603,0.106884079,0.007553603,0.016561775,0.122867972,0.058010696,0
0.02884244,0.112730961,0.02884244,0,0.12065698,0.056938876,0
0.030566488,0.108389666,0.030566488,0,0.117814277,0.055712888,0
0.161197942,0.214497299,0.161197942,0,0.115287429,0.05463948,0
0.284146961,0.274876351,0.284146961,0,0.112444725,0.053487108,0
0.306467089,0.293330857,0.306467089,0.011041184,0.110233733,0.052647415,0
0.180699752,0.295890002,0.180699752,0,0.107706886,0.051574007,0
0.034460928,0.298139304,0.034460928,0,0.10581175,0.050658527,0
0.010738061,0.277678565,0.010738061,0,0.103284902,0.049585119,0
0.011611417,0.279502237,0.011611417,0,0.101389766,0.048522407,0
0.019699731,0.175805844,0.019699731,0,0.099178774,0.047303355,0
0.026494929,0.05492335,0.026494929,0,0.097599495,0.046319607,0
0.024910069,0.036079765,0.024910069,0,0.095388503,0.045177931,0
0.023085964,0.039539528,0.023085964,0,0.093809223,0.044046951,0
0.033008698,0.053667812,0.033008698,0,0.091598231,0.042827899,0
0.067157817,0.084857935,0.067157817,0.016561775,0.090650663,0.042307822,0
0.078410229,0.097290999,0.078410229,0.011041184,0.089387239,0.04170502,0
0.067228881,0.094759535,0.067228881,0.011041184,0.088755527,0.041701843,0
0.032155307,0.089751662,0.032155307,0,0.087492104,0.041017907,0
0.021770059,0.094576277,0.021770059,0,0.086544536,0.040412935,0
0.028404379,0.099357615,0.028404379,0,0.084965256,0.039650035,0
